,ActiveName,Model,F1,Kd1,Kd2,RMSE,IC50
2,AZD6244,Sun,0.5494,0.0917,0.4506,0.0497,0.1863
19,AZD6244,Script,0.4353,64.3300,0.1026,0.0499,0.7301
29,AZD6244,Script,0.5504,0.0871,63.2700,0.0499,0.7721
52,AZD6244,Script,0.5401,0.0794,52.7600,0.0501,0.8293
50,AZD6244,Script,0.5438,0.0921,40.8500,0.0502,0.8505
54,AZD6244,Script,0.4773,40.7600,0.0752,0.0502,1.0558
18,AZD6244,Script,0.5267,0.0845,36.5500,0.0503,1.0365
28,AZD6244,Script,0.5724,0.0990,101.1000,0.0504,0.6557
30,AZD6244,Script,0.4829,34.1100,0.0805,0.0506,1.1740
20,AZD6244,Script,0.4772,51.8300,0.0775,0.0509,1.1454
51,AZD6244,Script,0.4934,35.2000,0.0658,0.0510,1.3062
53,AZD6244,Script,0.4974,26.6200,0.0744,0.0518,1.3398
59,AZD6244,Script,0.5156,19.9400,0.0629,0.0540,1.4718
58,AZD6244,Script,0.5173,19.9700,0.0583,0.0541,1.4770
63,AZD6244,Script,0.4670,0.0546,19.9200,0.0543,1.8871
10,AZD6244,Script,0.5197,32.5700,0.0487,0.0543,2.0557
62,AZD6244,Script,0.4844,0.0625,19.1600,0.0545,1.4323
64,AZD6244,Script,0.5338,19.0700,0.0558,0.0547,1.8583
49,AZD6244,Script,0.5389,19.6100,0.0527,0.0547,2.0303
67,AZD6244,Script,0.5372,19.5500,0.0428,0.0558,1.8930
66,AZD6244,Script,0.4382,0.0412,18.6000,0.0570,2.5898
60,AZD6244,Script,0.4045,0.0354,10.0000,0.0647,2.0741
61,AZD6244,Script,0.4057,0.0335,10.0000,0.0647,2.0436
55,AZD6244,Script,0.1623,1.1260,1.1260,0.1582,1.1260
57,AZD6244,Script,0.1114,1.1570,1.1570,0.1582,1.1570
56,AZD6244,Script,0.4007,1.1680,1.1680,0.1582,1.1680
1,AZD6244,Script,0.5088,0.0719,34.1100,0.1833,1.2951
65,AZD6244,Script,0.1166,10.0000,10.0000,0.2424,10.0000
9,AZD6244,Script,0.4504,59.8600,0.0917,0.4635,0.8145
4,BMS-754801,Sun,0.0719,0.5088,0.9281,0.0475,0.8897
40,BMS-754801,Script,0.4421,0.0121,8.5050,0.0475,1.0787
11,BMS-754801,Script,0.5545,8.5270,0.0128,0.0475,1.0337
12,BMS-754801,Script,0.4377,0.0118,8.1140,0.0475,1.0968
42,BMS-754801,Script,0.4458,0.0128,8.8880,0.0475,1.0682
14,BMS-754801,Script,0.4410,0.0125,8.6180,0.0475,1.1125
13,BMS-754801,Script,0.5670,7.9740,0.0113,0.0475,1.1457
37,BMS-754801,Script,0.4323,0.0114,7.6950,0.0476,1.1186
41,BMS-754801,Script,0.5535,9.0630,0.0127,0.0476,1.0757
38,BMS-754801,Script,0.4530,0.0134,9.0590,0.0476,0.9746
39,BMS-754801,Script,0.4378,0.0100,8.0350,0.0481,1.0734
3,BMS-754801,Script,0.4592,0.0142,9.1200,0.1666,0.8887
6,Dasatinib,Sun,0.5130,0.0595,0.4870,0.0263,0.1647
43,Dasatinib,Script,0.5127,0.0590,36.3700,0.0265,1.0739
15,Dasatinib,Script,0.5240,0.0633,36.0300,0.0266,0.8766
17,Dasatinib,Script,0.4863,35.5200,0.0557,0.0267,1.0018
45,Dasatinib,Script,0.5173,0.0613,39.7000,0.0268,1.0180
16,Dasatinib,Script,0.4858,28.2300,0.0606,0.0273,0.9677
44,Dasatinib,Script,0.4824,45.1500,0.0614,0.0280,1.0497
5,Dasatinib,Script,0.5088,0.0599,31.6800,0.1659,1.1268
31,HG6-64-1,Script,0.5009,0.0149,726.4000,0.0270,2.7233
36,HG6-64-1,Script,0.4974,0.0131,812.3000,0.0271,6.0260
27,HG6-64-1,Script,0.4880,0.0140,305.5000,0.0279,7.8616
24,HG6-64-1,Script,0.4891,0.0141,258.6000,0.0282,6.2412
22,HG6-64-1,Script,0.5165,281.5000,0.0129,0.0282,9.6871
46,HG6-64-1,Script,0.5112,260.1000,0.0141,0.0282,6.4017
47,HG6-64-1,Script,0.4864,0.0114,516.1000,0.0287,14.4769
35,HG6-64-1,Script,0.5305,128.2000,0.0126,0.0325,8.0094
34,HG6-64-1,Script,0.5307,109.1000,0.0113,0.0335,6.8808
21,HG6-64-1,Script,0.5207,101.9000,0.0123,0.0338,4.4878
48,HG6-64-1,Script,0.5228,104.7000,0.0137,0.0338,5.0515
23,HG6-64-1,Script,0.5293,105.4000,0.0130,0.0339,6.3841
26,HG6-64-1,Script,0.5320,68.9100,0.0115,0.0390,4.5851
32,HG6-64-1,Script,0.5370,57.0800,0.0110,0.0424,4.3614
33,HG6-64-1,Script,0.5424,54.1700,0.0091,0.0448,4.6966
25,HG6-64-1,Script,0.4878,42.1800,0.0165,0.0614,0.4652
7,HG6-64-1,Script,0.4865,"3,068.0000",0.0192,0.3844,0.7051
8,HG6-64-1,Sun,0.4991,0.0144,0.5009,2.2436,0.0853
